,FacilityName,Violation,DispositionDate,fines,non_alert_disposition_type,license_revoked,alert,Address,City,State,Zip
594,MOTI'S MARKET,Sale To Minor,01/26/2018,2500.0,setttled,0,1,4860 BOILING BROOK PKWY.,ROCKVILLE,MD,20852
595,NOT YOUR AVERAGE JOE'S,Sale To Minor,08/21/2018,1000.0,setttled,0,1,239 KENTLANDS BLVD.,GAITHERSBURG,MD,20878
596,BETHESDA CRAB HOUSE,Sale To Minor,10/18/2017,1000.0,setttled,0,1,4958 BETHESDA AVE.,BETHESDA,MD,20814
597,LA FONDA CHIQUITA CAFE,Sale To Minor,06/26/2018,1000.0,setttled,0,1,6838 NEW HAMPSHIRE AVE.,TAKOMA PARK,MD,20912
598,SPRING BEER & WINE,Sale To Minor,03/17/2016,1000.0,setttled,0,1,8645 16TH STREET,SILVER SPRING,MD,20910
599,MONTGOMERY VILLAGE BEER & WINE,Alcohol Awareness Certified Person Not On Premises,09/04/2018,100.0,setttled,0,1,18286 CONTOUR RD,GAITHERSBURG,MD,20879
600,DOUBLETREE HOTEL,Sale To Minor,05/13/2016,2500.0,setttled,0,1,8120 WISCONSIN AVENUE,BETHESDA,MD,20814
601,ROSSMOOR LEISURE WORLD,Alcohol Awareness Certified Person Not On Premises,05/29/2018,100.0,setttled,0,1,3700 ROSSMOOR BLVD.,SILVER SPRING,MD,20906
602,HOLIDAY INN EXPRESS & SUITES,Sale To Minor,09/13/2017,1000.0,setttled,0,1,20260 GOLDENROD LANE,GERMANTOWN,MD,20876
603,CHOICE WINE & BEER,Sale To Minor,08/15/2018,1000.0,setttled,0,1,11160 VEIRS MILL RD,WHEATON,MD,20902
604,SAMANTHA'S,Alcohol Awareness Certified Person Not On Premises,08/16/2016,100.0,setttled,0,1,631 UNIVERSITY BLVD. E.,SILVER SPRING,MD,20901
605,EL AGUILA RESTAURANT,License Not Properly Displayed,11/28/2017,100.0,setttled,0,1,8649 16TH STREET,SILVER SPRING,MD,20910
606,TACO BAR,Employee Records Not Available When Requested,09/14/2018,500.0,setttled,0,1,10003 FIELDS ROAD B,GAITHERSBURG,MD,20878
607,RED BOWL,Sale To Minor,09/14/2018,1000.0,setttled,0,1,12051 C4 CHESTNUT BRANCH WAY,CLARKSBURG,MD,20871
608,DINGNESH ETHIOPIAN RESTAURANT,Sale To Minor,03/22/2018,1000.0,setttled,0,1,4865 CORDELL AVE,BETHESDA,MD,20814
609,SPENCERVILLE MARKET,Sale To Minor,12/11/2017,1000.0,setttled,0,1,2215 SPENCERVILLE ROAD,SPENCERVILLE,MD,20860
610,OUTBACK STEAKHOUSE,Alcohol Awareness Certified Person Not On Premises,10/08/2018,100.0,setttled,0,1,12609 WISTERIA DR,GERMANTOWN,MD,20874
611,"BEST BEER, WINE, & DELI",Sale To Minor,10/12/2018,1000.0,setttled,0,1,18749 NORTH FREDERICK AVENUE A,GAITHERSBURG,MD,20879
612,LUKE'S LOBSTER,Alcohol Awareness Certified Person Not On Premises,01/26/2018,100.0,setttled,0,1,7129 BETHESDA LANE,BETHESDA,MD,20814
613,NEWS EXPRESS,Sale To Minor,04/20/2016,1000.0,setttled,0,1,4853 CORDELL AVENUE,BETHESDA,MD,20814
614,EVA LOUNGE,Dispensing Liquor By Bottle For Consumption Onsite,11/09/2018,1000.0,none,0,1,953 BONIFANT STREET,SILVER SPRING,MD,20910
615,THE BEER & WINE CELLAR,Sale To Minor,02/21/2017,1000.0,setttled,0,1,146 CONGRESSIONAL LANE,ROCKVILLE,MD,20852
616,OLD WORLD FAVORITES,Alcohol Awareness Certified Person Not On Premises,09/05/2017,100.0,setttled,0,1,3854 INTERNATIONAL DRIVE,SILVER SPRING,MD,20906
617,IKKO,Sale To Minor,02/02/2016,1000.0,setttled,0,1,1215 EASTWEST HIGHWAY,SILVER SPRING,MD,20910
618,THAI PAVILION,Alcohol Awareness Certified Person Not On Premises,02/14/2019,100.0,setttled,0,1,29 MARYLAND AVENUE 308,ROCKVILLE,MD,20850
619,SASUNS,Sale To Minor,11/06/2018,1000.0,setttled,0,1,7217 MUNCASTER MILL RD,DERWOOD,MD,20855
620,BENIHANA OF TOKYO,Employee Records Not Available When Requested,02/06/2018,500.0,setttled,0,1,7935 WISCONSIN AVE.,BETHESDA,MD,20814
621,PERUVIAN COUNTRY CHICKEN,Alcohol Awareness Certified Person Not On Premises,08/04/2016,100.0,setttled,0,1,10118 COLESVILLE ROAD,SILVER SPRING,MD,20901
622,SUPER CHICKEN,Sale To Minor,08/13/2018,1000.0,setttled,0,1,12611 H WISTERIA DRIVE,GERMANTOWN,MD,20874
623,NEW VILLAGE RESTAURANT,Alcohol Awareness Certified Person Not On Premises,09/11/2017,100.0,setttled,0,1,11540 MIDDLEBROOK ROAD,GERMANTOWN,MD,20876
624,KENSINGTON SUB & PIZZA,Storage,02/25/2019,1000.0,setttled,0,1,3701 UNIVERSITY BLVD. W.,KENSINGTON,MD,20895
625,SABAI SABAI...SIMPLY THAI,Sale To Minor,08/13/2018,1000.0,setttled,0,1,19847 CENTURY BOULEVARD,GERMANTOWN,MD,20874
626,MOM'S ORGANIC MARKET,Alcohol Awareness Certified Person Not On Premises,02/13/2017,100.0,setttled,0,1,5556 RANDOLPH ROAD,ROCKVILLE,MD,20852
627,OGEI'S CHICKEN & SUBS,To Intoxicated Patron,05/31/2016,0.0,hearing,1,0,293 MUDDY BRANCH ROAD,GAITHERSBURG,MD,20878
628,IRON AGE,Employee Records Not Available When Requested,11/13/2018,500.0,setttled,0,1,1054 ROCKVILLE PIKE,ROCKVILLE,MD,20852
629,NEW FORTUNE RESTAURANT,Sale To Minor,11/29/2018,1000.0,setttled,0,1,16515 FREDERICK ROAD,GAITHERSBURG,MD,20877
630,GESTE FOODS & WINE,Employee Records Not Available When Requested,02/02/2017,500.0,hearing,0,0,4801 EDGEMOOR LANE,BETHESDA,MD,20814
631,TRAPEZARIA MEDITERRANEAN KUZINA,Alcohol Awareness Certified Person Not On Premises,02/23/2017,100.0,setttled,0,1,11 NORTH WASHINGTON STREET,ROCKVILLE,MD,20850
